"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
1163,11748071,389,9.25447258021988,0.323716793601351,106200,0.005,10,0.1,"11748073,11748067",2,0
1149,11748099,1665,14.9596723813854,0.453069176258709,1609200,0.005,10,0.1,"11748091,11748089",2,0
1148,11748101,374,15.5519716050908,0.465552729497263,274500,0.005,10,0.1,"11748099,11748097",2,0
1146,11749791,922,15.5911983137189,0.466374402783083,323100,0.005,10,0.1,"11748101",2,0
642,11748379,548,5.95230527887987,0.237683315474062,320400,0.005,10,0.1,"11748373,11748375",2,0
643,11748381,74,6.04727281558027,0.240331530504695,129600,0.005,10,0.1,"11748379",2,0
641,11748505,1748,7.45826163030559,0.278333441018028,2295900,0.005,10,0.1,"11748381",2,0
154,11748393,1824,12.3481247845009,0.396131853213199,2150100,0.005,10,0.1,"11748385,11748383",2,0
153,11748395,915,13.5004343099743,0.421660070444316,999900,0.005,10,0.1,"11748393,11748411",2,0
1176,11748513,261,6.84864007276933,0.262205682127101,301500,0.005,10,0.1,"11748409",1,0
327,11748445,3273,16.108581492714,0.477154658170707,7229700,0.005,10,0.1,"11748441,11748439",2,0
326,11748449,535,16.1722563393787,0.478474162063805,356400,0.005,10,0.1,"11748445",2,0
325,11748501,1964,17.4456101566699,0.504544380380279,3206700,0.005,10,0.1,"11748449,11748447",2,0
324,11747989,816,17.5307078435171,0.506265899273166,684000,0.005,10,0.1,"11748501",2,0
640,11748391,363,7.5200879779636,0.279946539867192,112500,0.005,10,0.1,"11748505",2,0
811,11749795,156,4.10811170670902,0.183344813897091,315000,0.005,10,0.1,"11748751",1,0
106,11748777,879,7.47808396768643,0.278851057033053,1818900,0.005,10,0.1,"11748761,11748763",2,0
105,11748827,4497,9.64332235369714,0.333179090310508,5083200,0.005,10,0.1,"11748777,11748783",2,0
822,11748819,468,7.88470748609486,0.289380304477186,215100,0.005,10,0.1,"11748813,11748811",2,0
728,11748855,1933,7.11190191984316,0.269221097299257,2996100,0.005,10,0.1,"11748817,11748815",2,0
104,11748863,1917,11.921096355846,0.38649190113265,1954800,0.005,10,0.1,"11748827,11748819",3,0
246,11749613,1182,5.35130309794421,0.220617898838531,678600,0.005,10,0.1,"11748835,11748833",2,0
727,11748869,1076,8.48670309869812,0.304674681107896,714600,0.005,10,0.1,"11748855,11748859",2,0
103,11748865,40,12.1527282401731,0.391733496884582,4500,0.005,10,0.1,"11748863,11748867",3,0
102,11749617,2417,12.7642046715361,0.40542888831613,3143700,0.005,10,0.1,"11748865,11748883",3,0
1107,11749855,41,8.48806476311872,0.3047088991404,6300,0.005,10,0.1,"11748869",2,0
830,11749635,3654,8.09517535855743,0.29476603635225,6364800,0.005,10,0.1,"11748931,11749633",2,0
739,11748945,1039,7.52812860410572,0.280156033325132,1017900,0.005,10,0.1,"11748943,11749631",3,0
738,11748941,743,8.09924403038111,0.294869734057576,1163700,0.005,10,0.1,"11748945,11748939",3,0
1052,11749889,88,1.34172178732832,0.0837688955268159,14400,0.005,10,0.1,"11748955",1,0
1088,11749935,1029,4.65802981251491,0.200198419078187,1126800,0.005,10,0.1,"11748971",1,0
73,11748989,1138,6.03943748805006,0.240113513267844,1110600,0.005,10,0.1,"11748973,11748975",2,0
792,11749903,165,2.29745471052589,0.122065217761543,190800,0.005,10,0.1,"11748979",1,0
72,11749017,3756,8.21802320830061,0.29789019817542,5391000,0.005,10,0.1,"11748989,11749649",2,0
275,11748997,403,7.30302673900575,0.274265437851352,149400,0.005,10,0.1,"11748999,11749013",2,0
1048,11749911,46,8.22371520584593,0.298034611240222,29700,0.005,10,0.1,"11749017",2,0
781,11749921,19,2.1826245742266,0.117761787021623,0,0.005,10,0.1,"11749029",1,0
60,11749057,1894,7.41774117152247,0.277274053661149,3756600,0.005,10,0.1,"11749047,11749045",2,0
49,11749663,2822,6.10988605357703,0.242070705899098,4447800,0.005,10,0.1,"11749077,11749083",2,0
772,11749065,495,3.53913255934219,0.165175960030308,177300,0.005,10,0.1,"11749081,11749063",2,0
297,11749099,865,6.03725851538126,0.240052868485574,605700,0.005,10,0.1,"11749095,11749097",2,0
296,11749125,1718,7.60313805298054,0.282107136252298,1550700,0.005,10,0.1,"11749099,11749093",2,0
754,11749109,156,4.26844730068293,0.188325012829685,27000,0.005,10,0.1,"11749115",1,0
295,11749135,1263,8.39698638830555,0.302416493452338,1067400,0.005,10,0.1,"11749125,11749123",2,0
31,11749165,2951,5.55399700686423,0.226434713987634,4675500,0.005,10,0.1,"11749127,11749131",2,0
30,11749169,278,7.07281704026658,0.268184550608324,423900,0.005,10,0.1,"11749165,11749163",2,0
29,11749191,1021,7.99015837258268,0.292084042191823,768600,0.005,10,0.1,"11749169,11749669",2,0
28,11749691,2220,8.8816644469058,0.314532199465834,2844900,0.005,10,0.1,"11749191,11749671",2,0
1199,11750041,198,4.37223788442085,0.191518930158779,96300,0.005,10,0.1,"11749203",2,0
252,11749245,2747,8.53418308978696,0.305866862381495,4519800,0.005,10,0.1,"11749211,11749685",2,0
849,11749209,868,5.54714329584974,0.226239081210749,414000,0.005,10,0.1,"11749229,11749205",2,0
916,11749251,409,3.79177524531743,0.173344022322536,217800,0.005,10,0.1,"11749241,11749239",2,0
915,11749257,596,5.83285719649341,0.234334374389238,528300,0.005,10,0.1,"11749251,11749249",2,0
914,11750063,760,6.29713697228406,0.247240297188124,1687500,0.005,10,0.1,"11749257",2,0
6,11749327,1312,7.82408779731484,0.287821120524071,961200,0.005,10,0.1,"11749325,11749321",2,0
5,11749333,463,9.55278249708436,0.330986272277579,186300,0.005,10,0.1,"11749327,11749329",3,0
4,11749721,5594,10.8340636591495,0.36147063925583,9206100,0.005,10,0.1,"11749333,11749359",3,0
927,11749383,2247,7.3287704199716,0.274941843971118,2058300,0.005,10,0.1,"11749343,11749341",2,0
207,11749373,1442,7.41839715405913,0.277291217803729,1727100,0.005,10,0.1,"11749347,11749345",2,0
354,11749381,1969,7.01291533695139,0.266592591345641,1441800,0.005,10,0.1,"11749353,11749351",2,0
318,11749403,1507,3.90064002031861,0.176812990492843,1454400,0.005,10,0.1,"11749363,11749365",2,0
1303,6266998,2151,5.48343285516267,0.224417040025977,5214600,0.005,10,0.1,"11749367",1,0
1299,6267006,972,7.6727582488916,0.283912895778425,1278000,0.005,10,0.1,"11749373",2,0
352,11749389,444,8.04495653286507,0.293484824934754,307800,0.005,10,0.1,"11749379,11749381",2,0
267,11749425,1672,9.02208647298829,0.318005000171218,2720700,0.005,10,0.1,"11749385,11749383",2,0
317,11749751,3549,6.79709926548587,0.260822820913603,7010100,0.005,10,0.1,"11749403,11749401",2,0
433,11749397,195,3.79674227828111,0.173502941412548,24300,0.005,10,0.1,"11749415",1,0
884,11750105,19,1.67053076328728,0.0976601064573091,0,0.005,10,0.1,"11749443",1,0
956,11749459,608,7.85326589501373,0.288572053788109,285300,0.005,10,0.1,"11749457,11749767",2,0
347,11749447,142,5.21983970606822,0.216809883271505,29700,0.005,10,0.1,"11749491,11749477",2,0
